date,source,mean_sst,site
2000-03-29,METOFFICE,NA,OL
2000-03-30,ESACCI,17.2489408793614,OL
2000-03-30,METOFFICE,NA,OL
2000-03-31,ESACCI,17.235256669141,OL
2000-03-31,METOFFICE,NA,OL
2000-04-01,ESACCI,17.2036777224784,OL
2000-04-01,METOFFICE,NA,OL
2000-04-02,ESACCI,17.5749935036525,OL
2000-04-02,METOFFICE,NA,OL
2000-04-03,ESACCI,17.5749935036525,OL
2000-04-03,METOFFICE,NA,OL
2000-04-04,ESACCI,17.5876250823176,OL
2000-04-04,METOFFICE,NA,OL
2000-04-05,ESACCI,17.6142040290919,OL
2000-04-05,METOFFICE,NA,OL
2000-04-06,ESACCI,17.604993502982,OL
2000-04-06,METOFFICE,NA,OL
2000-04-07,ESACCI,17.5526250830999,OL
2000-04-07,METOFFICE,NA,OL
2000-04-08,ESACCI,17.3202566672411,OL
2000-04-08,METOFFICE,NA,OL
2000-04-09,ESACCI,17.247888247806,OL
2000-04-09,METOFFICE,NA,OL
2000-04-10,ESACCI,17.1757829862598,OL
2000-04-10,METOFFICE,NA,OL
2000-04-11,ESACCI,17.2357829849187,OL
2000-04-11,METOFFICE,NA,OL
2000-04-12,ESACCI,17.3810461395665,OL
2000-04-12,METOFFICE,NA,OL
2000-04-13,ESACCI,17.5473619253228,OL
2000-04-13,METOFFICE,NA,OL
2000-04-14,ESACCI,17.9092040224982,OL
2000-04-14,METOFFICE,NA,OL
2000-04-15,ESACCI,17.8415724450625,OL
2000-04-15,METOFFICE,NA,OL
2000-04-16,ESACCI,17.7757829728487,OL
2000-04-16,METOFFICE,NA,OL
2000-04-17,ESACCI,17.6442040284214,OL
2000-04-17,METOFFICE,NA,OL
2000-04-18,ESACCI,17.6331513970894,OL
2000-04-18,METOFFICE,NA,OL
2000-04-19,ESACCI,17.5439408727677,OL
2000-04-19,METOFFICE,NA,OL
2000-04-20,ESACCI,17.4534145590016,OL
2000-04-20,METOFFICE,NA,OL
2000-04-21,ESACCI,17.9455198111601,OL
2000-04-21,METOFFICE,NA,OL
2000-04-22,ESACCI,18.2226250681242,OL
2000-04-22,METOFFICE,NA,OL
2000-04-23,ESACCI,18.2205198050134,OL
